source,target,weight
Dick,say,79
Dick,see,30
Diver,Doctor,29
back,go,27
go,want,25
back,come,25
Nicole,say,25
Doctor,Dohmler,24
Rosemary,say,23
Abe,say,23
man,young,22
Abe,North,22
Nicole,see,22
Dick,go,21
get,go,20
long,time,20
head,shake,20
last,night,20
Dick,Diver,19
first,time,19
Dick,ask,18
New,York,17
Mary,North,17
Dick,come,17
Barban,Tommy,17
away,go,17
go,let,17
Dick,Nicole,17
go,well,16
Tommy,say,16
Dick,tell,16
Haven,New,16
Caroline,Lady,16
go,home,15
Rosemary,see,15
away,far,15
like,people,15
half,hour,15
see,want,15
bye,good,15
Clay,Collis,15
Miss,Warren,15
know,want,14
never,see,14
good,say,14
Dick,turn,14
Rosemary,look,13
woman,young,13
like,would,13
go,say,13
ago,year,13
Dick,want,13
say,think,13
Nicole,go,13
five,year,13
Baby,Warren,13
away,turn,12
fall,love,12
man,two,12
know,never,12
come,see,12
Dick,think,12
Dick,feel,12
hundred,two,12
Dick,get,12
Franz,say,12
go,like,11
around,look,11
four,twenty,11
care,take,11
minute,ten,11
talk,want,11
know,one,11
Dick,could,11
Nicole,call,11
away,right,10
McKisco,say,10
man,one,10
know,say,10
Dick,make,10
Dick,take,10
hand,shake,10
could,find,10
two,year,10
know,man,10
know,well,10
go,think,10
Dick,like,10
Dick,sit,10
say,well,10
see,think,10
Dick,look,10
Dick,know,10
Nicole,think,10
go,tell,9
say,see,9
know,would,9
Dick,talk,9
go,see,9
last,year,9
good,time,9
Rosemary,think,9
think,would,9
Nicole,tell,9
good,thing,9
girl,see,9
Nicole,wait,9
one,see,9
know,mean,9
know,think,9
think,well,9
one,thing,9
go,must,9
Dick,laugh,9
say,tell,9
Nicole,love,9
could,see,9
could,tell,9
Dick,call,9
man,many,9
door,open,9
like,something,8
Rosemary,come,8
know,whether,8
know,people,8
Carlo,Monte,8
back,hotel,8
say,would,8
take,would,8
like,say,8
ever,know,8
Nicole,like,8
around,walk,8
Diana,Villa,8
make,want,8
Dick,face,8
go,time,8
go,know,8
come,know,8
ought,think,8
old,year,8
could,get,8
first,thing,8
go,hotel,8
Nicole,look,8
six,year,8
could,think,8
close,come,8
eye,follow,8
Nicole,take,8
go,room,8
Dick,room,8
Dick,stand,8
Dick,answer,8
Mr,Warren,8
mind,never,8
know,thing,8
early,morning,7
come,say,7
come,one,7
get,want,7
anything,know,7
fact,matter,7
Brady,Earl,7
ten,year,7
like,look,7
Rosemary,go,7
say,voice,7
back,get,7
see,time,7
know,like,7
Rosemary,like,7
Dumphry,Royal,7
get,one,7
go,together,7
take,want,7
know,must,7
Nicole,come,7
come,moment,7
anything,say,7
ever,go,7
bed,sit,7
girl,little,7
minute,wait,7
another,one,7
Dick,wait,7
Nicole,want,7
feel,like,7
Dick,Rosemary,7
Mary,say,7
come,want,7
close,door,7
love,love,7
hand,hold,7
get,well,7
could,stand,7
Nicole,well,7
away,take,7
Dick,minute,7
along,come,7
Nicole,feel,7
Baby,say,7
Mrs,Speers,7
day,go,6
back,forth,6
could,feel,6
jockey,man,6
cap,jockey,6
back,look,6
last,week,6
God,sake,6
ever,see,6
Rosemary,ask,6
get,thing,6
hundred,year,6
car,go,6
man,talk,6
nice,people,6
go,go,6
oh,yes,6
say,together,6
attractive,think,6
feel,well,6
Rosemary,stand,6
come,upon,6
think,want,6
time,time,6
away,die,6
Nicole,moment,6
many,year,6
Nicole,could,6
Rosemary,would,6
far,go,6
nothing,say,6
Dick,stare,6
McKisco,Violet,6
toward,walk,6
door,go,6
Abe,see,6
go,way,6
bed,go,6
come,right,6
like,thing,6
like,see,6
come,room,6
go,place,6
along,go,6
make,would,6
two,woman,6
Abe,come,6
first,man,6
Dick,hear,6
money,spend,6
keep,think,6
like,woman,6
Dick,bring,6
go,never,6
say,thing,6
Dick,suddenly,6
Collis,say,6
could,say,6
like,rather,6
one,say,6
Dick,find,6
anything,like,6
Nicole,get,6
sort,thing,6
man,old,6
ask,come,6
indulgence,self,6
find,time,6
could,make,6
mind,pull,6
curtain,pull,6
Dick,eye,6
time,waste,6
Dick,demand,6
fun,much,6
much,well,6
come,sit,6
several,time,6
get,manage,6
right,right,6
Dohmler,Professor,6
Doctor,say,6
glad,see,6
Good,bye,6
laugh,say,6
must,think,6
Nicole,find,6
oh,oh,6
next,room,6
Doctor,Lladislau,6
always,like,6
carabinieri,two,6
Norma,Talmadge,6
blow,wind,5
something,tell,5
french,window,5
face,take,5
Rosemary,hand,5
Rosemary,suddenly,5
back,turn,5
Rosemary,find,5
Rosemary,follow,5
make,try,5
like,one,5
toward,turn,5
away,foot,5
say,time,5
look,moment,5
Rosemary,make,5
